Credits,Player Type,Player Name,Team
6.5,ALL,Aaron Hardie,AUS
7,BOWL,Abrar Ahmed,PAK
9,BOWL,Adam Zampa,AUS
8.5,BOWL,Adil Rashid,ENG
8,ALL,Agha Salman,PAK
8,ALL,Aiden Markram,SA
7,WK,Alex Carey,AUS
7.5,BOWL,Arshdeep Singh,IND
8,ALL,Axar Patel,IND
8,ALL,Azmatullah Omarzai,AFG
8.5,BAT,Babar Azam,PAK
8,BAT,Ben Duckett,ENG
6.5,BOWL,Ben Dwarshuis,AUS
5.5,BOWL,Bilal Sami,AFG
7,BOWL,Brydon Carse,ENG
5.5,ALL,Cooper Connolly,AUS
6.5,ALL,Corbin Bosch,SA
6,BAT,Darwish Rasooli,AFG
8.5,BAT,Daryl Mitchell,NZ
7.5,BAT,David Miller,SA
8,WK,Devon Conway,NZ
6.5,ALL,Faheem Ashraf,PAK
8,BAT,Fakhar Zaman,PAK
7,BOWL,Fareed Ahmed Malik,AFG
8,BOWL,FazalHaq Farooqi,AFG
8.5,ALL,Glenn Maxwell,AUS
8,ALL,Glenn Phillips,NZ
7,ALL,Gulbadin Naib,AFG
7,BOWL,Gus Atkinson,ENG
8.5,ALL,Hardik Pandya,IND
8,BOWL,Haris Rauf,PAK
7,BAT,Harry Brook,ENG
6.5,BOWL,Harshit Rana,IND
7.5,BAT,Hashmatullah Shahidi,AFG
9,WK,Heinrich Klaasen,SA
8,BAT,Ibrahim Zadran,AFG
6.5,WK,Ikram Alikhil,AFG
7.5,BAT,Imam ul-Haq,PAK
6.5,BOWL,Jacob Duffy,NZ
6,BAT,Jake Fraser-McGurk,AUS
6.5,WK,Jaker Ali Anik,BAN
6.5,ALL,Jamie Overton,ENG
6,WK,Jamie Smith,ENG
8,ALL,Joe Root,ENG
8,BOWL,Jofra Archer,ENG
8.5,WK,Jos Buttler,ENG
7.5,WK,Josh Inglis,AUS
9,BOWL,Kagiso Rabada,SA
6.5,BAT,Kamran Ghulam,PAK
9,BAT,Kane Williamson,NZ
8,BOWL,Keshav Maharaj,SA
6.5,ALL,Khushdil Shah,PAK
8,BOWL,Kuldeep Yadav,IND
6.5,BOWL,Kyle Jamieson,NZ
7,ALL,Liam Livingstone,ENG
7.5,WK,Lokesh Rahul,IND
7,BOWL,Lungi Ngidi,SA
8.5,ALL,Marco Jansen,SA
6.5,BAT,Mark Chapman,NZ
7.5,BOWL,Mark Wood,ENG
7.5,BAT,Marnus Labuschagne,AUS
8.5,BOWL,Matt Henry,NZ
7,ALL,Matthew Short,AUS
8.5,ALL,Mehidy Hasan Miraz,BAN
7.5,ALL,Michael Bracewell,NZ
8,ALL,Mitchell Santner,NZ
7,BOWL,Mohammad Hasnain,PAK
7.5,ALL,Mohammad Mahmudullah,BAN
8,ALL,Mohammad Nabi,AFG
6,BAT,Mohammad Parvez Hossain-Emon,BAN
8.5,WK,Mohammad Rizwan,PAK
8.5,BOWL,Mohammed Shami,IND
8,WK,Mushfiqur Rahim,BAN
8,BOWL,Mustafizur Rahman,BAN
6,BOWL,Nahid Rana,BAN
8,BAT,Najmul Hossain Shanto,BAN
6,BOWL,Nangeyalia Kharote,AFG
7.5,BOWL,Naseem Shah,PAK
7,BOWL,Nasum Ahmed,BAN
7,BOWL,Nathan Ellis,AUS
6,BOWL,Nathan Smith,NZ
6,BOWL,Naveed Zadran,AFG
7,BOWL,Noor Ahmad,AFG
7.5,WK,Philip Salt,ENG
8,BAT,Rachin Ravindra,NZ
8.5,WK,Rahmanullah Gurbaz,AFG
7.5,BAT,Rahmat Shah,AFG
9,BOWL,Rashid-Khan,AFG
8,BAT,Rassie van der-Dussen,SA
8,ALL,Ravindra Jadeja,IND
6,ALL,Rehan Ahmed,ENG
7,WK,Rishabh Pant,IND
6.5,ALL,Rishad- Hossain,BAN
9,BAT,Rohit Sharma,IND
7,WK,Ryan Rickelton,SA
7.5,BOWL,Saqib Mahmood,ENG
7,BAT,Saud Shakeel,PAK
7.5,BOWL,Sean Abbott,AUS
6.5,BAT,Sediqullah Atal,AFG
9,BOWL,Shaheen Afridi,PAK
8,BAT,Shreyas Iyer,IND
8.5,BAT,Shubman Gill,IND
7,BAT,Soumya Sarkar,BAN
7,BOWL,Spencer Johnson,AUS
8.5,BAT,Steven Smith,AUS
6.5,BOWL,Tabraiz Shamsi,SA
6,BOWL,Tanveer Sangha,AUS
7,BAT,Tanzid Hasan,BAN
7,BOWL,Tanzim Sakib,BAN
8.5,BOWL,Taskin Ahmed,BAN
7.5,BAT,Tawhid Hridoy,BAN
6.5,BAT,Tayyab Tahir,PAK
8,BAT,Temba Bavuma,SA
6.5,BAT,Tom Banton,ENG
7.5,WK,Tom Latham,NZ
6.5,BAT,Tony de Zorzi,SA
9,BAT,Travis Head,AUS
7.5,BAT,Tristan Stubbs,SA
6,WK,Usman Khan,PAK
7,BOWL,Varun Chakravarthy,IND
9,BAT,Virat Kohli,IND
6,ALL,Washington Sundar,IND
7,ALL,Wiaan Mulder,SA
7,BAT,Will Young,NZ
7,BOWL,William O'Rourke,NZ
